Radius,Location,Fjord_acr,Station,Samp label,Distance,St_name
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1897",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"2541",BA_J
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"16833",BE_H
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"16832",BE_H
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"16834",BE_H
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"16833",BE_H
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"6133",BA_J
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"16837",BE_H
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"4856",BA_J
"2000",Bergsfjord,BE,H,FISHDIV_BE_H,"2805",BE_H
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"8832",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1527",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"9319",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"3459",BE_A
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"3913",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"10045",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1218",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"6165",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1317",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"7732",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1419",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"8138",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"690",BE_A
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"638",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"3567",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"862",BE_A
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1108",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"2625",BA_K
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"3974",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1505",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"2912",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1099",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"2720",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"5281",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"5882",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"8234",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"5151",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"2211",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"4692",BA_K
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"9225",BA_K
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"10532",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"4644",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"10839",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"3644",BE_B
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"3924",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"13335",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"4398",BE_A
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1701",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"4593",BA_K
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"17807",BA_J
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"12511",BA_J
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1796",BE_A
"3000",Balsfjord,BA,J,FISHDIV_BA_J,"17798",BA_J
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"3015",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1309",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"4130",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1499",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"2374",BA_K
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"2484",BA_K
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"2604",BA_K
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"2200",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"1140",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"3021",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"902",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"10600",BA_K
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"9654",BA_K
"2000",Bergsfjord,BE,A,FISHDIV_BE_A,"946",BE_A
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"4692",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"2408",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"17477",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"2547",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"12584",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"2754",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1634",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"2223",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1743",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"2305",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"12253",BA_K
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1879",BA_F
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"13089",BA_K
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1278",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"2094",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1355",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"2155",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1657",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1654",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"1846",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"8060",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"2040",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"8483",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"1216",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"3877",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"3138",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"4128",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"3185",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"5249",BA_K
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"6477",BA_K
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"2922",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"1044",BE_B
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"1129",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"5246",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"680",BE_B
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"848",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"3249",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"963",BE_B
"3000",Balsfjord,BA,K,FISHDIV_BA_K,"2456",BA_K
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"5480",BE_B
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"3826",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1571",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"1051",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1619",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"629",BE_B
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"740",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"3358",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"8014",BE_B
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"2080",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1945",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"4217",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"6117",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"5032",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"5278",BA_F
"750",Odelfjord,OL,A,FISHDIV_OL_A,"589",OL_A
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"8233",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"9822",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"3651",BE_B
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"4099",BE_B
"750",Odelfjord,OL,A,FISHDIV_OL_A,"593",OL_A
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"9037",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1514",BA_F
"750",Odelfjord,OL,A,FISHDIV_OL_A,"590",OL_A
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1309",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"3892",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"1420",BE_B
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"1626",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"6279",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2281",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"974",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2102",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2430",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2378",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2780",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"3016",BA_F
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"1180",BE_B
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"929",BE_B
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1559",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2004",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"1862",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2349",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2171",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2098",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2222",BA_F
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1026",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"2080",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"873",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"665",BE_C
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"1429",BE_B
"2000",Bergsfjord,BE,B,FISHDIV_BE_B,"1131",BE_B
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"742",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"6399",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"827",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"8768",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"3679",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"730",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"2698",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"821",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1684",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"5918",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"837",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"994",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"870",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1648",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"823",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"1058",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"1046",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"1040",OL_A
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2603",BA_F
"750",Odelfjord,OL,A,FISHDIV_OL_A,"802",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1356",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"603",OL_A
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2083",BA_F
"3000",Balsfjord,BA,F,FISHDIV_BA_F,"2334",BA_F
"750",Odelfjord,OL,A,FISHDIV_OL_A,"1223",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1322",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1379",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"886",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"799",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"779",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1136",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"1004",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1195",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"2515",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"3381",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"627",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"559",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"584",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1664",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"600",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"612",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"635",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"3170",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"637",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1177",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"590",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1682",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"4241",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"593",OL_A
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"8713",FR_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1218",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1153",BE_C
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"13218",FR_A
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"1273",FR_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1389",BE_C
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"2159",FR_A
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"5988",FR_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1463",BE_C
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"8041",FR_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1624",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"1370",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"985",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"1321",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"990",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1127",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"2013",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1099",BE_C
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"1022",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"19789",OL_A
"2000",Bergsfjord,BE,C,FISHDIV_BE_C,"2261",BE_C
"750",Odelfjord,OL,A,FISHDIV_OL_A,"6665",OL_A
"750",Odelfjord,OL,A,FISHDIV_OL_A,"560",OL_A
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"3930",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"4503",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"4084",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"4117",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"3858",BA_B
"750",Odelfjord,OL,A,FISHDIV_OL_A,"499",OL_A
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"3850",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"4167",BA_B
"750",Odelfjord,OL,A,FISHDIV_OL_A,"1468",OL_A
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"4079",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"4815",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"3138",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"6156",BA_B
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1447",BE_D
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"6169",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"4938",BA_B
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"515",FR_A
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"2409",BA_B
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"490",FR_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"2141",BE_D
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"2795",BA_B
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"906",FR_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"4854",BE_D
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"4746",BE_D
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"935",FR_A
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"2505",BA_B
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"4877",BE_D
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"6520",BA_B
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"5197",BE_D
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"744",FR_A
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"5834",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"8068",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"7331",BA_B
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"4905",BE_D
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"8858",BA_B
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"825",FR_A
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"10080",BA_B
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1434",BE_D
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"673",FR_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1418",BE_D
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"3052",BA_B
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"4094",BA_B
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1280",BE_D
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"708",FR_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1052",BE_D
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"21237",BE_D
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"1981",BA_B
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"21242",BE_D
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"2337",BA_B
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"679",FR_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"21091",BE_D
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"1054",FR_A
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"2332",BA_B
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"2474",BE_D
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1176",BE_D
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"1383",FR_A
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"4685",BA_B
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1814",BE_D
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"575",FR_A
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"4503",BA_B
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1216",BE_D
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"5610",BA_B
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"630",FR_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"2097",BE_D
"3000",Balsfjord,BA,B,FISHDIV_BA_B,"3904",BA_B
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"512",FR_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1437",BE_D
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"1351",FR_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"2234",BA_A
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"1513",FR_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1426",BE_D
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"1332",BE_D
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"3112",BA_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"4053",BA_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"742",BE_D
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"3850",BA_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"5245",BA_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"4348",BA_A
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"487",FR_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"7080",BA_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"670",BE_D
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"2122",BA_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"2472",BA_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"960",BE_D
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"4122",BA_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"4600",BA_A
"1000",Frakkfjord,FR,B,FISHDIV_FR_B,"10837",FR_B
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"3803",BA_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"3624",BA_A
"1000",Frakkfjord,FR,A,FISHDIV_FR_A,"12803",FR_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"3539",BA_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"953",BE_D
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"3771",BA_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"3613",BA_A
"2000",Bergsfjord,BE,D,FISHDIV_BE_D,"861",BE_D
"1000",Frakkfjord,FR,B,FISHDIV_FR_B,"4751",FR_B
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"3546",BA_A
"2000",Bergsfjord,BE,E,FISHDIV_BE_E,"16847",BE_E
"2000",Bergsfjord,BE,E,FISHDIV_BE_E,"16844",BE_E
"1000",Frakkfjord,FR,B,FISHDIV_FR_B,"6321",FR_B
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"2837",BA_A
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"3230",BA_A
"1000",Frakkfjord,FR,B,FISHDIV_FR_B,"24984",FR_B
"3000",Balsfjord,BA,A,FISHDIV_BA_A,"5915",BA_A
